7	a	ban	on	partial-birth	abortion	at1	nn1	ii	jj	nn1
9	a	battery	of	psychological	tests	at1	nn1	io	jj	nn2
5	a	book	on	personal	finance	at1	nn1	ii	jj	nn1
5	a	bouquet	of	pink	roses	at1	nn1	io	jj	nn2
5	a	broad	and	peaceful	sky	at1	jj	cc	jj	nn1
9	a	candidate	for	public	office	at1	nn1	if	jj	nn1
7	a	cap	on	punitive	damages	at1	nn1	ii	jj	nn2
7	a	career	in	public	service	at1	nn1	ii	jj	nn1
5	a	certain	amount	of	political	at1	jj	nn1	io	jj
6	a	certain	level	of	political	at1	jj	nn1	io	jj
10	a	certified	personal	trainer	and	at1	jj	jj	nn1	cc
11	a	certified	public	accountant	and	at1	jj	jj	nn1	cc
9	a	certified	public	accountant	in	at1	jj	jj	nn1	ii
10	a	certified	public	accountant	with	at1	jj	jj	nn1	iw
77	a	clear	and	present	danger	at1	jj	cc	jj	nn1
9	a	clear	and	present	threat	at1	jj	cc	jj	nn1
9	a	clinical	psychologist	in	private	at1	jj	nn1	ii	jj
18	a	close	personal	friend	of	at1	jj	jj	nn1	io
7	a	close	personal	relationship	with	at1	jj	jj	nn1	iw
7	a	decline	in	positive	affect	at1	nn1	ii	jj	nn1
12	a	degree	in	physical	education	at1	nn1	ii	jj	nn1
28	a	degree	in	political	science	at1	nn1	ii	jj	nn1
5	a	degree	in	public	administration	at1	nn1	ii	jj	nn1
5	a	dermatologist	in	private	practice	at1	nn1	ii	jj	nn1
5	a	different	kind	of	political	at1	jj	nn1	io	jj
5	a	direct	and	positive	effect	at1	jj	cc	jj	nn1
5	a	doctoral	degree	in	physical	at1	jj	nn1	ii	jj
5	a	fair	amount	of	political	at1	jj	nn1	io	jj
5	a	few	highly	publicized	cases	at1	da2	rr	jj	nn2
6	a	form	of	physical	activity	at1	nn1	io	jj	nn1
5	a	form	of	political	action	at1	nn1	io	jj	nn1
6	a	former	deputy	prime	minister	at1	da	nn1	jj	nn1
9	a	former	prime	minister	of	at1	da	jj	nn1	io
8	a	former	pro	football	player	at1	da	jj	nn1	nn1
6	a	former	professional	football	player	at1	da	jj	nn1	nn1
10	a	former	public	school	teacher	at1	da	jj	nn1	nn1
19	a	free	appropriate	public	education	at1	jj	jj	jj	nn1
5	a	full	and	productive	life	at1	jj	cc	jj	nn1
6	a	good	deal	of	public	at1	jj	nn1	io	jj
17	a	great	deal	of	personal	at1	jj	nn1	io	jj
11	a	great	deal	of	physical	at1	jj	nn1	io	jj
22	a	great	deal	of	political	at1	jj	nn1	io	jj
7	a	great	deal	of	positive	at1	jj	nn1	io	jj
5	a	great	deal	of	professional	at1	jj	nn1	io	jj
21	a	great	deal	of	public	at1	jj	nn1	io	jj
6	a	growing	public	health	problem	at1	jj	jj	nn1	nn1
7	a	happy	and	productive	life	at1	jj	cc	jj	nn1
5	a	high	degree	of	personal	at1	jj	nn1	io	jj
6	a	high	degree	of	political	at1	jj	nn1	io	jj
8	a	high	level	of	perceived	at1	jj	nn1	io	jj
7	a	high	level	of	personal	at1	jj	nn1	io	jj
7	a	high	level	of	physical	at1	jj	nn1	io	jj
10	a	high	level	of	political	at1	jj	nn1	io	jj
7	a	high	level	of	public	at1	jj	nn1	io	jj
5	a	high	school	physical	education	at1	jj	nn1	jj	nn1
7	a	huge	amount	of	political	at1	jj	nn1	io	jj
5	a	job	in	public	relations	at1	nn1	ii	jj	nn2
5	a	lack	of	parental	involvement	at1	nn1	io	jj	nn1
5	a	lack	of	physical	evidence	at1	nn1	io	jj	nn1
6	a	lack	of	political	courage	at1	nn1	io	jj	nn1
5	a	lack	of	political	leadership	at1	nn1	io	jj	nn1
19	a	lack	of	political	will	at1	nn1	io	jj	nn1
5	a	lack	of	public	support	at1	nn1	io	jj	nn1
10	a	large	and	peaceful	bay	at1	jj	cc	jj	nn1
6	a	large	number	of	possible	at1	jj	nn1	io	jj
6	a	large	number	of	potential	at1	jj	nn1	io	jj
11	a	large	public	university	in	at1	jj	jj	nn1	ii
20	a	lawyer	in	private	practice	at1	nn1	ii	jj	nn1
10	a	life	of	public	service	at1	nn1	io	jj	nn1
5	a	lifetime	of	physical	activity	at1	nnt1	io	jj	nn1
5	a	little	bit	of	personal	at1	jj	nn1	io	jj
5	a	little	bit	of	pink	at1	jj	nn1	io	jj
8	a	little	bit	of	political	at1	jj	nn1	io	jj
5	a	local	public	high	school	at1	jj	jj	jj	nn1
7	a	long	and	painful	process	at1	jj	cc	jj	nn1
8	a	long	history	of	political	at1	jj	nn1	io	jj
6	a	long	list	of	potential	at1	jj	nn1	io	jj
7	a	look	of	pure	hatred	at1	nn1	io	jj	nn1
6	a	loss	of	public	confidence	at1	nn1	io	jj	nn1
5	a	loss	of	public	support	at1	nn1	io	jj	nn1
10	a	lot	of	pent-up	demand	at1	nn1	io	jj	nn1
5	a	lot	of	people-	Mr.	at1	nn1	io	jj	nnb
5	a	lot	of	personal	information	at1	nn1	io	jj	nn1
5	a	lot	of	personal	things	at1	nn1	io	jj	nn2
6	a	lot	of	physical	evidence	at1	nn1	io	jj	nn1
10	a	lot	of	political	capital	at1	nn1	io	jj	nn1
8	a	lot	of	political	pressure	at1	nn1	io	jj	nn1
21	a	lot	of	poor	people	at1	nn1	io	jj	nn
7	a	lot	of	positive	feedback	at1	nn1	io	jj	nn1
6	a	lot	of	positive	reinforcement	at1	nn1	io	jj	nn1
21	a	lot	of	positive	things	at1	nn1	io	jj	nn2
5	a	lot	of	primary	care	at1	nn1	io	jj	nn1
5	a	lot	of	pro	bono	at1	nn1	io	jj	nn1
7	a	lot	of	public	attention	at1	nn1	io	jj	nn1
6	a	lot	of	public	pressure	at1	nn1	io	jj	nn1
5	a	low	level	of	political	at1	jj	nn1	io	jj
